name,price
"Apple iPhone 15 Pro Max (Natural Titanium, 1 TB)","₹1,88,900"
"Apple iPhone 13 Pro Max (Sierra Blue, 1 TB)","₹1,79,900"
"Apple iPhone 12 mini (Black, 64 GB)","₹59,900"
"Apple iPhone 12 Pro (Pacific Blue, 128 GB)","₹1,09,900"
"Apple iPhone 12 (Black, 128 GB)","₹44,999"
"Apple iPhone 12 Pro (Pacific Blue, 256 GB)","₹1,19,900"
"Apple iPhone 15 Pro Max (Black Titanium, 512 GB)","₹1,68,900"
"Apple iPhone 5s (Gold, 16 GB)","₹14,999"
"Apple iPhone 11 (Yellow, 128 GB)","₹48,900"
"Apple iPhone 13 Pro (Gold, 256 GB)","₹1,29,900"
"Apple iPhone 12 (Green, 64 GB)","₹39,999"
"Apple iPhone 13 Pro Max (Graphite, 128 GB)","₹1,29,900"
"Apple iPhone 15 Pro Max (Blue Titanium, 1 TB)","₹1,88,900"
"Apple iPhone 13 Pro (Graphite, 128 GB)","₹1,19,900"
"Apple iPhone 13 Pro Max (Gold, 1 TB)","₹1,79,900"
"Apple iPhone XS Max (Gold, 64 GB)","₹1,09,900"
"Apple iPhone 15 Plus (Yellow, 256 GB)","₹91,999"
"Apple iPhone 11 Pro (Space Grey, 64 GB)","₹1,06,600"
"Apple iPhone 12 mini (Black, 128 GB)","₹64,900"
"Apple iPhone 12 (Purple, 128 GB)","₹44,999"
"Apple iPhone 12 (Red, 128 GB)","₹44,999"
"Apple iPhone 13 Pro (Silver, 1 TB)","₹1,69,900"
"Apple iPhone 14 ((PRODUCT)RED, 256 GB)","₹68,999"
"Apple iPhone 11 Pro Max (Silver, 512 GB)","₹1,50,800"
"Apple iPhone 13 Pro Max (Graphite, 512 GB)","₹1,59,900"
"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)","₹47,900"
"Apple iPhone 13 mini ((PRODUCT)RED, 128 GB)","₹64,900"
"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)","₹47,900"
"Apple iPhone 12 mini (Blue, 128 GB)","₹64,900"
"Apple iPhone 14 Pro (Gold, 128 GB)","₹1,19,900"
"Apple iPhone 12 (Green, 128 GB)","₹44,999"
"Apple iPhone 14 Pro Max (Space Black, 512 GB)","₹1,57,999"
"Apple iPhone 12 mini (Blue, 64 GB)","₹59,900"
"Apple iPhone 14 Pro Max (Gold, 128 GB)","₹1,27,999"
"Apple iPhone 12 (Purple, 64 GB)","₹39,999"
"Apple iPhone 12 Pro Max (Gold, 256 GB)","₹1,29,900"
"Apple iPhone SE 3rd Gen (Starlight, 128 GB)","₹54,900"
"Apple iPhone 14 Pro Max (Silver, 1 TB)","₹1,77,999"
"Apple iPhone 12 (White, 128 GB)","₹44,999"
"Apple iPhone 11 Pro Max (Midnight Green, 64 GB)","₹1,09,900"
"Apple iPhone XS (Gold, 64 GB)","₹89,900"
"Apple iPhone 14 Pro Max (Space Black, 128 GB)","₹1,27,999"
"Apple iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900"
"Apple iPhone 5C (White, 32 GB)","₹53,500"
"Apple iPhone 5C (Blue, 16 GB)","₹41,900"
"Apple iPhone 5C (Green, 16 GB)","₹41,900"
"Apple iPhone 12 mini (White, 128 GB)","₹64,900"
"Apple IPhone 4 (White, 8 GB)","₹13,999"
"Apple iPhone 5C (Blue, 8 GB)","₹14,999"
"Apple iPhone 5C (White, 8 GB)","₹14,999"
